,hosp,hosp,hosp,rea,rea,rea,rad,rad,rad,dc,dc,dc
2021-02-16,26195,12982,12928,3338,2296,1016,244207,122742,119782,58552,33769,24423
2021-02-17,25929,12862,12781,3340,2289,1027,245706,123454,120549,58862,33939,24560
2021-02-18,25717,12811,12630,3384,2332,1032,247096,124100,121276,59133,34075,24692
2021-02-19,25506,12667,12555,3380,2334,1026,248457,124796,121933,59458,34268,24822
2021-02-20,25269,12535,12438,3369,2332,1016,249520,125327,122455,59641,34366,24906
2021-02-21,25464,12619,12535,3392,2340,1030,249727,125430,122559,59800,34463,24968
2021-02-22,25831,12810,12713,3407,2344,1042,250532,125829,122957,60133,34654,25107
2021-02-23,25660,12736,12628,3435,2340,1075,252083,126601,123722,60443,34826,25240
2021-02-24,25614,12809,12509,3436,2342,1074,253450,127218,124463,60720,34982,25359
2021-02-25,25317,12667,12355,3430,2326,1081,254868,127913,125171,60981,35138,25461
2021-02-26,25130,12566,12263,3445,2324,1097,256326,128635,125895,61265,35289,25592
2021-02-27,24989,12462,12226,3453,2319,1112,257258,129119,126335,61450,35393,25673
2021-02-28,25280,12580,12395,3492,2325,1146,257555,129282,126466,61572,35475,25713
2021-03-01,25430,12691,12435,3544,2371,1152,258384,129668,126889,61947,35682,25875
2021-03-02,25263,12628,12328,3586,2383,1179,259893,130410,127644,62247,35865,25989
2021-03-03,25111,12558,12243,3637,2415,1194,261289,131098,128335,62569,36058,26112
2021-03-04,24891,12494,12100,3633,2413,1193,262690,131767,129049,62862,36230,26229
2021-03-05,24765,12444,12018,3680,2446,1199,263919,132385,129648,63100,36351,26345
2021-03-06,24625,12399,11918,3689,2442,1208,264909,132881,130133,63270,36447,26419
2021-03-07,24818,12521,11976,3743,2468,1228,265295,133079,130314,63400,36519,26477
2021-03-08,25195,12666,12216,3849,2538,1264,266096,133495,130678,63759,36716,26635
2021-03-09,25201,12726,12174,3918,2599,1274,267539,134202,131391,64057,36877,26771
2021-03-10,24969,12582,12092,3918,2589,1287,269019,134963,132092,64321,37037,26873
2021-03-11,24858,12584,11972,3992,2644,1302,270433,135643,132816,64586,37177,26995
2021-03-12,24749,12532,11935,4033,2668,1320,271678,136259,133420,64809,37302,27090
2021-03-13,24671,12474,11904,4070,2693,1328,272615,136740,133870,64978,37401,27160
2021-03-14,24989,12659,12042,4127,2733,1346,272960,136918,134032,65118,37481,27217
2021-03-15,25469,12915,12265,4219,2802,1373,273771,137343,134410,65451,37672,27353
2021-03-16,25492,13008,12213,4239,2821,1373,275360,138105,135214,65765,37831,27505
2021-03-17,25314,12936,12115,4219,2810,1362,276993,138926,136000,66006,37971,27606
2021-03-18,25389,12966,12151,4246,2836,1364,278263,139598,136588,66274,38127,27718
2021-03-19,25339,12944,12133,4287,2840,1402,279646,140288,137261,66559,38287,27837
2021-03-20,25537,13014,12245,4353,2862,1447,280571,140754,137711,66735,38391,27908
2021-03-21,25926,13218,12430,4406,2890,1470,280955,140954,137891,66873,38471,27964
2021-03-22,26488,13493,12717,4548,2962,1539,281885,141438,138329,67216,38674,28100
2021-03-23,26756,13651,12829,4634,3043,1540,283507,142239,139132,67503,38835,28225
2021-03-24,26876,13769,12834,4651,3070,1524,285199,143093,139947,67748,38962,28342
2021-03-25,27036,13822,12939,4709,3106,1546,286607,143795,140643,67973,39102,28426
2021-03-26,27242,13972,12998,4766,3157,1556,288062,144508,141367,68276,39273,28555
2021-03-27,27259,13988,12994,4791,3173,1571,289350,145166,141991,68466,39372,28645
2021-03-28,27712,14230,13203,4872,3231,1592,289752,145377,142177,68597,39446,28701
2021-03-29,28322,14518,13529,4974,3294,1631,290810,145933,142670,68957,39659,28843
2021-03-30,28510,14633,13586,5072,3363,1664,292796,146913,143652,69293,39845,28990
2021-03-31,28463,14606,13566,5053,3368,1644,294638,147857,144534,69596,40011,29123
2021-04-01,28581,14674,13603,5109,3399,1664,296166,148610,145299,69904,40176,29263
2021-04-02,28729,14814,13622,5254,3486,1724,297734,149379,146074,70204,40348,29387
2021-04-03,28886,14872,13705,5273,3490,1732,299075,150094,146687,70389,40462,29458
2021-04-04,29356,15102,13936,5341,3530,1759,299624,150395,146934,70574,40572,29532
2021-04-05,29907,15376,14202,5433,3589,1789,300064,150637,147128,70771,40688,29613
2021-04-06,30639,15746,14561,5626,3704,1866,301299,151253,147733,71180,40924,29781
2021-04-07,30904,15907,14668,5729,3766,1907,303639,152456,148848,71601,41153,29972
2021-04-08,30555,15734,14501,5705,3754,1894,305711,153538,149817,71944,41338,30126
2021-04-09,30326,15661,14344,5757,3799,1904,307674,154514,150790,72243,41511,30252
2021-04-10,30238,15633,14275,5769,3826,1890,309136,155248,151506,72450,41631,30337
2021-04-11,30671,15853,14493,5838,3874,1915,309787,155589,151810,72626,41732,30408
2021-04-12,31262,16214,14723,5916,3924,1943,310934,156161,152369,73011,41939,30584
2021-04-13,31226,16141,14767,5952,3941,1961,313051,157275,153353,73335,42111,30732
2021-04-14,30868,15949,14607,5902,3896,1956,315152,158363,154347,73632,42274,30861
2021-04-15,30668,15842,14536,5924,3888,1987,317036,159332,155249,73928,42443,30985
2021-04-16,30472,15693,14495,5914,3883,1988,318923,160320,156131,74234,42626,31104
2021-04-17,30329,15608,14428,5877,3876,1959,320275,161027,156760,74423,42732,31184
2021-04-18,30789,15839,14641,5893,3868,1981,320757,161279,156986,74563,42809,31247
2021-04-19,31214,16044,14860,5970,3902,2027,321889,161870,157516,75010,43068,31432
2021-04-20,31086,16007,14773,5984,3909,2033,323961,162964,158526,75384,43297,31582
2021-04-21,30954,15939,14704,5959,3894,2022,325811,163917,159411,75697,43471,31717
2021-04-22,30634,15749,14575,5981,3904,2036,327668,164874,160292,75980,43643,31825
2021-04-23,30438,15683,14453,5962,3901,2020,329405,165722,161162,76285,43826,31941
2021-04-24,30100,15497,14293,5958,3893,2022,330838,166473,161832,76502,43952,32030
2021-04-25,30287,15606,14364,5978,3895,2037,331362,166749,162075,76647,44026,32100
2021-04-26,30596,15788,14496,6001,3929,2027,332563,167362,162652,77045,44243,32278
2021-04-27,30281,15625,14346,5943,3872,2021,334577,168375,163635,77370,44439,32404
2021-04-28,29911,15427,14180,5879,3849,1986,336281,169236,164466,77685,44611,32543
2021-04-29,29487,15195,14000,5804,3806,1951,338000,170099,165300,77991,44787,32668
2021-04-30,28930,14895,13741,5675,3743,1885,339650,170956,166081,78261,44933,32791
2021-05-01,28603,14737,13575,5581,3677,1859,340997,171630,166735,78453,45053,32862
2021-05-02,28818,14817,13706,5585,3674,1868,341458,171902,166922,78566,45119,32908
2021-05-03,28950,14883,13771,5630,3717,1870,342451,172428,167379,78877,45292,33041
2021-05-04,28427,14574,13574,5504,3649,1817,344265,173417,168187,79120,45431,33141
2021-05-05,27686,14211,13202,5402,3566,1800,346184,174376,169128,79364,45569,33243
2021-05-06,26985,13849,12862,5231,3475,1718,347768,175186,169889,79583,45707,33325
2021-05-07,26331,13526,12551,5106,3425,1646,349293,175947,170628,79809,45827,33431
2021-05-08,25800,13199,12349,5005,3349,1623,350471,176561,171176,79985,45940,33493
2021-05-09,25797,13179,12367,4971,3317,1620,350873,176779,171356,80100,45999,33549
2021-05-10,25666,13107,12315,4870,3237,1602,351795,177233,171812,80392,46167,33670
2021-05-11,25028,12795,11995,4743,3157,1553,353370,178014,172595,80628,46301,33770
2021-05-12,24254,12371,11643,4583,3044,1510,354860,178783,173309,80812,46406,33849
2021-05-13,23656,12061,11358,4442,2952,1462,355927,179319,173832,80943,46481,33904
2021-05-14,23406,11898,11275,4352,2900,1425,356700,179735,174181,81116,46583,33973
2021-05-15,22950,11653,11066,4271,2853,1391,357613,180220,174601,81228,46646,34021
2021-05-16,22963,11632,11096,4255,2844,1384,357928,180394,174739,81309,46695,34053
2021-05-17,22749,11527,10986,4186,2784,1374,358776,180801,175169,81505,46815,34127
2021-05-18,22058,11179,10646,4015,2661,1325,360213,181549,175851,81692,46908,34220
2021-05-19,21347,10824,10298,3862,2552,1279,361460,182177,176457,81833,46982,34287
2021-05-20,20750,10505,10021,3769,2503,1235,362593,182746,177011,81966,47063,34338
2021-05-21,20209,10262,9730,3631,2430,1175,363600,183241,177512,82075,47119,34391
2021-05-22,19765,10024,9527,3544,2371,1147,364391,183654,177884,82164,47168,34431
2021-05-23,19720,9996,9508,3515,2349,1140,364695,183805,178034,82234,47210,34459
2021-05-24,19701,9969,9513,3496,2335,1135,364902,183914,178132,82296,47248,34482
2021-05-25,19430,9836,9379,3447,2294,1127,365739,184318,178556,82494,47348,34580
2021-05-26,18593,9454,8941,3330,2214,1091,367046,184951,179211,82638,47434,34635
2021-05-27,17941,9161,8589,3206,2138,1046,368023,185426,179710,82780,47517,34693
2021-05-28,17272,8812,8279,3104,2059,1026,369109,185982,180231,82878,47575,34733
2021-05-29,16847,8606,8065,3028,2020,990,369789,186318,180568,82946,47611,34765
2021-05-30,16775,8550,8048,2993,1995,981,370014,186439,180670,82990,47641,34779
2021-05-31,16596,8463,7962,2945,1968,961,370577,186700,180965,83116,47713,34832
2021-06-01,16088,8204,7728,2825,1884,928,371500,187170,181405,83243,47782,34889
2021-06-02,15638,7983,7506,2754,1821,918,372310,187573,181807,83339,47842,34924
2021-06-03,15283,7816,7321,2677,1786,876,373033,187929,182168,83409,47884,34952
2021-06-04,14801,7581,7080,2571,1729,826,373818,188316,182560,83490,47935,34982
2021-06-05,14532,7435,6959,2525,1692,817,374281,188558,182777,83547,47966,35007
2021-06-06,14525,7418,6969,2527,1695,816,374416,188635,182834,83572,47981,35017
2021-06-07,14323,7297,6890,2472,1657,799,374909,188897,183060,83636,48023,35038
2021-06-08,13984,7079,6772,2394,1607,773,375569,189249,183364,83708,48077,35055
2021-06-09,13526,6880,6509,2326,1565,749,376342,189605,183780,83773,48113,35083
2021-06-10,13090,6633,6324,2245,1501,732,376974,189931,184078,83841,48154,35109
2021-06-11,12712,6443,6143,2163,1437,715,377596,190227,184397,83910,48198,35134
2021-06-12,12496,6316,6056,2110,1394,705,377961,190426,184563,83944,48221,35145
2021-06-13,12480,6313,6043,2106,1395,700,378063,190469,184621,83957,48228,35151
2021-06-14,12374,6247,6006,2068,1358,698,378429,190652,184801,84020,48260,35181
2021-06-15,11895,6004,5775,1952,1271,671,379108,190989,185136,84096,48310,35207
2021-06-16,11519,5841,5569,1873,1215,649,379635,191224,185419,84140,48332,35229
2021-06-17,11114,5621,5389,1799,1167,623,380195,191528,185670,84196,48364,35252
2021-06-18,10738,5465,5172,1740,1136,595,380667,191743,185923,84246,48384,35282
2021-06-19,10531,5340,5091,1703,1114,580,380930,191887,186041,84268,48396,35292
2021-06-20,10518,5322,5096,1703,1116,578,380979,191920,186057,84282,48399,35303
2021-06-21,10386,5249,5042,1655,1082,564,381278,192070,186202,84322,48421,35321
2021-06-22,10046,5088,4868,1560,1022,529,381726,192281,186435,84373,48451,35342
2021-06-23,9771,4930,4754,1509,982,518,382124,192488,186622,84406,48469,35357
2021-06-24,9392,4743,4564,1439,938,492,382593,192716,186861,84450,48495,35375
2021-06-25,9190,4641,4464,1389,907,473,382897,192885,186996,84483,48513,35390
2021-06-26,9024,4559,4380,1349,889,451,383122,193005,187101,84495,48516,35399
2021-06-27,8986,4542,4360,1345,886,450,383185,193034,187134,84512,48526,35406
2021-06-28,8846,4472,4290,1304,862,433,383447,193160,187268,84556,48552,35424
2021-06-29,8627,4350,4196,1250,826,413,383768,193328,187416,84584,48569,35434
2021-06-30,8451,4266,4105,1204,795,400,384051,193458,187569,84609,48580,35447
2021-07-01,8232,4137,4018,1162,769,384,384338,193619,187691,84638,48595,35461
2021-07-02,8044,4017,3952,1123,743,371,384616,193777,187809,84662,48609,35471
2021-07-03,7912,3946,3892,1102,723,371,384781,193855,187894,84679,48618,35479
2021-07-04,7913,3954,3885,1104,728,368,384812,193866,187914,84688,48622,35484
2021-07-05,7806,3914,3819,1077,718,349,385013,193968,188010,84724,48638,35504
2021-07-06,7637,3839,3727,1032,690,332,385289,194103,188149,84758,48651,35525
2021-07-07,7539,3772,3695,997,666,321,385490,194209,188243,84786,48671,35533
2021-07-08,7384,3713,3604,971,646,315,385720,194307,188371,84811,48687,35542
2021-07-09,7275,3657,3552,953,641,302,385950,194431,188476,84829,48700,35547
2021-07-10,7183,3621,3497,947,635,302,386122,194506,188571,84848,48709,35557
2021-07-11,7183,3624,3494,947,636,301,386141,194512,188584,84852,48710,35560
2021-07-12,7137,3606,3466,957,643,304,386424,194644,188735,84880,48724,35574
2021-07-13,7076,3573,3438,933,628,296,386704,194783,188876,84902,48733,35586
2021-07-14,7047,3549,3434,931,624,298,386839,194854,188939,84908,48737,35587
2021-07-15,7054,3554,3435,914,618,288,387017,194949,189022,84924,48740,35600
2021-07-16,6971,3508,3399,899,603,289,387297,195071,189180,84946,48751,35610
2021-07-17,6922,3500,3358,890,607,276,387439,195133,189258,84962,48757,35620
2021-07-18,6936,3518,3354,891,611,273,387469,195144,189277,84967,48760,35622
2021-07-19,7041,3571,3405,902,616,278,387703,195257,189397,84987,48779,35623
2021-07-20,6912,3504,3350,876,591,280,388118,195446,189618,85020,48799,35636
2021-07-21,6869,3483,3328,859,581,273,388402,195592,189755,85042,48811,35646
2021-07-22,6832,3460,3313,868,588,276,388707,195759,189891,85053,48818,35650
2021-07-23,6802,3449,3296,872,588,280,389021,195911,190050,85082,48832,35665
2021-07-24,6787,3456,3272,878,585,289,389197,195985,190152,85104,48844,35675
2021-07-25,6843,3478,3306,886,589,292,389226,195998,190167,85110,48847,35678
2021-07-26,7079,3584,3428,952,626,321,389531,196149,190320,85154,48868,35700
2021-07-27,7137,3623,3448,978,645,328,389996,196381,190552,85182,48883,35713
2021-07-28,7208,3658,3484,992,656,331,390367,196572,190728,85225,48904,35735
2021-07-29,7236,3665,3499,1015,663,348,390784,196780,190932,85252,48918,35748
2021-07-30,7363,3721,3566,1072,699,369,391216,196997,191141,85312,48953,35772
2021-07-31,7409,3743,3590,1099,706,388,391581,197186,191315,85355,48980,35788
2021-08-01,7581,3839,3663,1137,720,412,391689,197241,191365,85373,48993,35793
2021-08-02,7840,4003,3764,1232,779,448,392055,197409,191561,85424,49024,35812
2021-08-03,7974,4077,3824,1331,840,484,392634,197686,191856,85480,49063,35829
2021-08-04,8134,4178,3885,1371,858,509,393129,197935,192098,85528,49091,35848
2021-08-05,8210,4232,3904,1420,877,538,393723,198232,192394,85577,49118,35870
2021-08-06,8368,4290,3997,1458,895,555,394324,198561,192662,85637,49148,35900
2021-08-07,8425,4334,4008,1510,930,570,394709,198749,192857,85669,49169,35911
2021-08-08,8685,4460,4135,1556,943,602,394910,198852,192953,85697,49185,35922
2021-08-09,9022,4642,4291,1667,998,657,395310,199040,193160,85765,49223,35952
2021-08-10,9153,4693,4370,1712,1024,676,396002,199400,193488,85833,49262,35981
2021-08-11,9233,4702,4443,1745,1044,689,396616,199707,193788,85886,49293,36003
2021-08-12,9465,4826,4544,1807,1084,713,397162,199988,194052,85963,49330,36041
2021-08-13,9546,4883,4568,1831,1104,718,397828,200324,194374,86037,49369,36077
2021-08-14,9648,4957,4595,1837,1116,713,398257,200541,194580,86088,49388,36109
2021-08-15,9798,5026,4673,1852,1128,716,398445,200646,194662,86132,49410,36131
2021-08-16,10151,5209,4840,1908,1165,731,398924,200886,194897,86228,49456,36181
2021-08-17,10219,5277,4843,1953,1208,731,399763,201306,195306,86339,49516,36229
2021-08-18,10336,5315,4917,2054,1250,790,400539,201699,195681,86451,49580,36277
2021-08-19,10392,5320,4970,2049,1261,778,401284,202092,196030,86578,49652,36331
2021-08-20,10515,5380,5041,2091,1268,812,401946,202415,196363,86660,49702,36362
2021-08-21,10463,5364,5005,2106,1282,813,402615,202751,196690,86789,49773,36419
2021-08-22,10651,5469,5082,2128,1293,822,402848,202878,196795,86883,49819,36467
2021-08-23,11007,5655,5250,2215,1347,854,403285,203093,197015,86991,49876,36519
2021-08-24,11066,5703,5263,2221,1354,857,404141,203533,197422,87143,49972,36573
2021-08-25,11171,5746,5324,2239,1379,848,404823,203893,197738,87236,50019,36618
2021-08-26,11104,5699,5310,2261,1374,875,405490,204230,198063,87343,50081,36663
2021-08-27,11162,5715,5354,2270,1377,882,406229,204623,198404,87438,50130,36709
2021-08-28,11052,5644,5308,2259,1374,873,406709,204866,198637,87512,50176,36737
2021-08-29,11092,5662,5328,2276,1386,879,406911,204975,198728,87565,50207,36759
2021-08-30,11245,5750,5390,2290,1390,886,407355,205178,198965,87663,50264,36800
2021-08-31,11120,5707,5316,2292,1396,881,408275,205603,199451,87797,50331,36866
2021-09-01,11119,5714,5301,2294,1397,881,408908,205910,199771,87880,50381,36899
2021-09-02,10934,5615,5215,2275,1383,874,409615,206281,200104,87983,50443,36938
2021-09-03,10816,5559,5157,2259,1374,867,410229,206596,200400,88076,50490,36982
2021-09-04,10654,5479,5078,2223,1345,861,410710,206839,200633,88159,50529,37025
2021-09-05,10644,5469,5078,2217,1332,867,410888,206938,200711,88208,50557,37046
2021-09-06,10757,5533,5125,2249,1347,884,411314,207137,200934,88310,50610,37095
2021-09-07,10646,5452,5096,2259,1348,893,412039,207515,201273,88418,50673,37140
2021-09-08,10438,5342,5005,2224,1326,881,412721,207860,201598,88518,50725,37188
2021-09-09,10323,5287,4945,2195,1326,852,413273,208129,201880,88621,50777,37239
2021-09-10,10115,5163,4860,2151,1299,835,413880,208436,202176,88701,50817,37278
2021-09-11,10018,5106,4821,2131,1288,827,414243,208621,202348,88747,50843,37297
2021-09-12,10012,5098,4822,2129,1288,825,414405,208701,202429,88776,50859,37310
2021-09-13,9986,5108,4787,2103,1287,800,414778,208876,202626,88862,50913,37341
2021-09-14,9739,4962,4685,2000,1226,759,415490,209227,202983,88956,50974,37373
2021-09-15,9555,4842,4618,1959,1195,749,416030,209515,203233,89033,51018,37406
2021-09-16,9297,4730,4478,1952,1194,743,416554,209762,203503,89098,51054,37435
2021-09-17,9070,4613,4369,1891,1152,724,417059,210012,203753,89164,51093,37462
2021-09-18,8912,4532,4294,1837,1118,703,417399,210178,203924,89206,51113,37484
2021-09-19,8887,4517,4281,1832,1115,701,417505,210230,203977,89234,51129,37496
2021-09-20,8845,4497,4260,1805,1108,680,417826,210388,204134,89255,51135,37511
2021-09-21,8594,4368,4145,1744,1084,643,418397,210665,204418,89407,51227,37571
2021-09-22,8414,4277,4053,1656,1032,607,418859,210904,204639,89465,51253,37603
2021-09-23,8237,4189,3963,1609,1008,587,419256,211090,204848,89527,51290,37627
2021-09-24,8107,4109,3914,1586,995,579,419628,211284,205026,89576,51317,37649
2021-09-25,7980,4045,3852,1571,989,570,419912,211414,205178,89605,51330,37665
2021-09-26,7994,4058,3853,1577,989,576,419971,211444,205207,89619,51336,37673
2021-09-27,7980,4062,3836,1571,981,579,420247,211576,205347,89693,51377,37706
2021-09-28,7801,3972,3746,1524,958,556,420645,211771,205548,89751,51411,37728
2021-09-29,7726,3943,3702,1466,925,531,420934,211909,205696,89793,51436,37744
2021-09-30,7565,3859,3627,1414,881,522,421264,212074,205858,89849,51468,37768
2021-10-01,7410,3781,3553,1355,849,494,421579,212224,206018,89895,51499,37783
2021-10-02,7294,3725,3494,1325,838,476,421787,212335,206114,89925,51512,37800
2021-10-03,7308,3736,3497,1326,835,480,421839,212356,206145,89934,51518,37803
2021-10-04,7299,3730,3493,1328,837,479,422072,212475,206257,89984,51546,37825
2021-10-05,7096,3618,3401,1279,815,451,422510,212693,206474,90045,51578,37853
2021-10-06,7038,3585,3378,1242,794,435,422728,212794,206588,90079,51599,37865
2021-10-07,6903,3515,3313,1200,780,406,423001,212932,206721,90113,51619,37879
2021-10-08,6805,3470,3260,1164,749,401,423274,213068,206855,90151,51642,37894
2021-10-09,6706,3418,3216,1127,723,391,423485,213167,206964,90166,51650,37901
2021-10-10,6737,3434,3231,1132,725,394,423537,213193,206988,90174,51655,37904
2021-10-11,6729,3437,3222,1145,724,408,423734,213292,207085,90204,51675,37914
2021-10-12,6629,3367,3189,1111,698,396,424018,213435,207222,90257,51712,37929
2021-10-13,6601,3377,3152,1091,692,384,424238,213534,207339,90280,51726,37938
2021-10-14,6523,3331,3118,1075,688,371,424464,213641,207458,90318,51752,37950
2021-10-15,6470,3313,3082,1051,678,358,424693,213745,207581,90352,51771,37964
2021-10-16,6437,3295,3070,1049,680,356,424817,213810,207638,90367,51780,37968
2021-10-17,6448,3302,3080,1052,682,358,424868,213836,207662,90372,51782,37971
2021-10-18,6468,3315,3085,1049,682,352,425074,213944,207760,90413,51805,37988
2021-10-19,6483,3327,3088,1046,672,361,425292,214052,207868,90452,51824,38008
2021-10-20,6465,3309,3089,1026,662,352,425537,214175,207986,90473,51840,38013
2021-10-21,6453,3293,3091,1009,652,346,425777,214300,208100,90508,51857,38031
2021-10-22,6400,3268,3067,1010,651,350,426012,214422,208209,90537,51869,38048
2021-10-23,6348,3241,3042,1007,650,348,426213,214527,208303,90560,51881,38059
2021-10-24,6377,3254,3057,1018,659,350,426243,214545,208314,90564,51884,38060
2021-10-25,6405,3255,3082,1023,658,355,426431,214647,208398,90605,51910,38075
2021-10-26,6445,3298,3075,1049,672,365,426654,214756,208512,90643,51937,38086
2021-10-27,6489,3316,3101,1038,663,364,426836,214860,208590,90677,51956,38100
2021-10-28,6541,3312,3153,1037,663,363,427031,214972,208672,90710,51980,38109
2021-10-29,6534,3323,3136,1034,666,359,427286,215086,208810,90737,51992,38124
2021-10-30,6524,3316,3134,1039,668,362,427445,215174,208880,90759,52002,38136
2021-10-31,6572,3342,3157,1046,676,360,427489,215201,208895,90771,52009,38141
2021-11-01,6639,3378,3185,1069,690,369,427519,215215,208911,90777,52010,38146
2021-11-02,6680,3421,3186,1091,706,376,427801,215340,209063,90851,52053,38177
2021-11-03,6764,3461,3231,1096,720,367,428108,215507,209199,90890,52077,38192
2021-11-04,6718,3440,3206,1099,723,367,428434,215667,209362,90937,52110,38206
2021-11-05,6735,3454,3207,1089,713,366,428716,215813,209498,90963,52122,38220
2021-11-06,6667,3394,3194,1099,711,377,428950,215943,209595,90988,52139,38228
2021-11-07,6709,3407,3218,1101,710,380,428990,215958,209620,90998,52147,38230
2021-11-08,6865,3486,3297,1141,743,387,429250,216087,209747,91053,52184,38248
2021-11-09,6851,3475,3291,1140,741,386,429618,216270,209931,91097,52219,38257
2021-11-10,6906,3502,3321,1154,746,395,429919,216424,210073,91130,52241,38268
2021-11-11,6952,3518,3350,1145,735,398,430063,216503,210135,91147,52248,38278
2021-11-12,7046,3589,3375,1182,763,407,430277,216607,210242,91195,52274,38300
2021-11-13,7050,3592,3376,1202,775,415,430476,216714,210331,91211,52286,38304
2021-11-14,7111,3631,3395,1210,783,415,430524,216743,210350,91228,52295,38312
2021-11-15,7361,3765,3509,1257,817,427,430811,216878,210499,91298,52337,38339
2021-11-16,7535,3840,3607,1277,828,436,431216,217077,210698,91345,52367,38354
2021-11-17,7663,3918,3652,1300,834,453,431559,217248,210868,91395,52398,38373
2021-11-18,7787,3996,3696,1333,868,451,431887,217409,211030,91447,52427,38396
2021-11-19,7940,4073,3772,1353,889,449,432215,217575,211190,91497,52457,38416
2021-11-20,7974,4088,3795,1333,873,445,432421,217689,211275,91520,52472,38424
2021-11-21,8038,4108,3838,1339,884,440,432497,217734,211306,91535,52479,38432
2021-11-22,8338,4255,3990,1406,924,468,432957,217970,211525,91629,52530,38473
2021-11-23,8525,4359,4074,1455,955,486,433411,218207,211737,91713,52576,38507
2021-11-24,8765,4513,4156,1483,980,487,433833,218408,211954,91793,52611,38552
2021-11-25,8981,4631,4254,1499,997,487,434310,218625,212205,91865,52653,38581
2021-11-26,9181,4721,4364,1563,1035,515,434775,218875,212416,91925,52683,38610
2021-11-27,9271,4773,4405,1617,1069,535,435027,219005,212532,91959,52700,38627
2021-11-28,9381,4831,4453,1632,1080,539,435119,219056,212573,91982,52712,38637
2021-11-29,9860,5051,4709,1749,1157,580,435531,219264,212770,92085,52779,38673
2021-11-30,10249,5283,4867,1824,1222,588,436187,219596,213085,92199,52839,38727
2021-12-01,10558,5427,5022,1886,1268,604,436766,219908,213352,92292,52885,38773
2021-12-02,10790,5558,5126,1934,1297,624,437363,220208,213641,92395,52945,38814
2021-12-03,11103,5739,5256,2058,1380,667,438044,220559,213963,92508,53000,38871
2021-12-04,11340,5833,5387,2037,1370,654,438440,220762,214153,92557,53029,38891
2021-12-05,11526,5936,5463,2066,1384,667,438589,220838,214224,92586,53047,38901
2021-12-06,12096,6239,5730,2191,1467,708,439237,221152,214549,92778,53157,38980
2021-12-07,12714,6566,6015,2351,1561,769,440066,221558,214965,92942,53248,39052
2021-12-08,13044,6732,6184,2426,1612,794,440865,221965,215348,93071,53326,39102
2021-12-09,13363,6918,6318,2461,1641,803,441638,222327,215752,93198,53399,39154
2021-12-10,13629,7030,6480,2498,1658,823,442473,222760,216138,93339,53478,39213
2021-12-11,13855,7127,6612,2539,1683,839,442940,222999,216363,93404,53514,39241
2021-12-12,14050,7246,6684,2602,1727,857,443159,223112,216468,93452,53537,39266
2021-12-13,14527,7534,6867,2752,1827,909,443933,223481,216867,93683,53676,39356
2021-12-14,14819,7686,7017,2792,1868,911,445100,224077,217427,93841,53768,39420
2021-12-15,15062,7755,7183,2843,1885,940,446101,224604,217893,93992,53857,39483
2021-12-16,15142,7791,7223,2832,1871,941,447156,225136,218409,94157,53952,39553
2021-12-17,15410,7901,7382,2901,1917,961,448151,225643,218889,94319,54044,39619
2021-12-18,15370,7887,7356,2933,1930,980,448891,225992,219272,94404,54086,39662
2021-12-19,15528,7953,7448,2936,1948,968,449128,226118,219381,94479,54124,39699
2021-12-20,15918,8149,7646,3025,1980,1028,449970,226525,219810,94703,54249,39794
2021-12-21,16076,8237,7711,3096,2007,1068,451213,227141,220432,94913,54362,39890
2021-12-22,16118,8238,7744,3147,2045,1078,452365,227723,220991,95083,54448,39972
2021-12-23,16060,8198,7727,3208,2074,1110,453573,228317,221594,95262,54554,40045
2021-12-24,16173,8200,7837,3254,2091,1142,454659,228873,222117,95429,54646,40120
2021-12-25,16162,8196,7832,3282,2097,1161,455323,229206,222439,95513,54689,40161
2021-12-26,16365,8294,7932,3299,2110,1166,455508,229304,222524,95609,54749,40196
2021-12-27,16921,8549,8221,3333,2126,1184,456295,229672,222935,95865,54894,40306
2021-12-28,17405,8771,8474,3416,2186,1205,457594,230289,223602,96107,55026,40413
2021-12-29,17856,8971,8716,3469,2202,1241,458891,230906,224266,96291,55136,40487
2021-12-30,18321,9190,8969,3506,2229,1250,460123,231481,224911,96471,55240,40562
2021-12-31,18715,9341,9209,3543,2265,1252,461407,232115,225550,96660,55341,40649
2022-01-01,18811,9392,9243,3560,2291,1242,462266,232540,225981,96770,55400,40700
2022-01-02,19043,9512,9353,3572,2290,1255,462576,232677,226152,96861,55452,40738
2022-01-03,19606,9759,9671,3654,2320,1306,463863,233257,226845,97131,55589,40869
2022-01-04,20186,10075,9928,3665,2348,1293,465820,234164,227880,97424,55753,40995
2022-01-05,20688,10295,10192,3695,2366,1304,467508,234976,228759,97670,55883,41109
2022-01-06,21169,10520,10431,3759,2418,1312,469181,235774,229628,97874,55986,41210
2022-01-07,21605,10770,10612,3815,2457,1333,470797,236478,230530,98067,56101,41287
2022-01-08,21721,10807,10677,3821,2453,1339,472027,237068,231165,98209,56187,41343
2022-01-09,21982,10946,10791,3847,2454,1362,472488,237266,231426,98299,56241,41379
2022-01-10,22749,11351,11145,3904,2481,1385,473916,237879,232219,98579,56399,41496
2022-01-11,23371,11622,11486,3969,2514,1422,476124,238904,233382,98847,56562,41601
2022-01-12,23889,11877,11739,3985,2522,1429,478097,239768,234472,99093,56695,41714
2022-01-13,24154,11958,11907,3939,2487,1419,480068,240662,235538,99318,56828,41802
